,time,open,close,high,low,volume
0,1624863360000,0.25675,0.25675,0.25675,0.25675,250.0
1,1624863420000,0.25675,0.25675,0.25675,0.25675,750.0
2,1624863480000,0.25694,0.25719000000000003,0.25719000000000003,0.25668,300.00174
3,1624863540000,0.25719000000000003,0.25745999999999997,0.25745999999999997,0.25719000000000003,100.0
4,1624863600000,0.25753000000000004,0.25733,0.25753000000000004,0.25733,150.0
5,1624863660000,0.25772,0.25756,0.25774,0.25756,150.00173999999998
6,1624863780000,0.25695,0.25694,0.25695,0.25694,3650.631
7,1624863840000,0.25669000000000003,0.25681,0.25684,0.25669000000000003,3.05200611
8,1624863900000,0.2567,0.25711999999999996,0.25711999999999996,0.2567,100.0
9,1624863960000,0.25669000000000003,0.25695,0.25695,0.25659,200.23943134
10,1624864020000,0.25695,0.25685,0.25695,0.25648000000000004,200.0
11,1624864080000,0.25697,0.25695,0.25697,0.25695,1.2702923000000002
12,1624864140000,0.25745999999999997,0.25732,0.25745999999999997,0.25701,600.0
13,1624864200000,0.25690999999999997,0.25656,0.25690999999999997,0.25656,1050.0334155
14,1624864260000,0.25732,0.25732,0.25732,0.25732,250.0
15,1624864320000,0.25745999999999997,0.25797,0.25797,0.25729,652358.5198361999
16,1624864380000,0.25797,0.25811,0.25825,0.25797,176331.4
17,1624864500000,0.25765,0.25814000000000004,0.25859,0.25765,1216.97843368
18,1624864560000,0.25859,0.25853000000000004,0.25892,0.25851999999999997,30452.30238199
19,1624864620000,0.25821,0.2582,0.25851999999999997,0.2582,3171.9
20,1624864680000,0.25822,0.25874,0.25887,0.25822,500.0
21,1624864740000,0.25893,0.25866999999999996,0.25893,0.25847,1442.014
22,1624864800000,0.25874,0.25898000000000004,0.25898000000000004,0.25874,100.20499959
23,1624864860000,0.259,0.25919000000000003,0.25919000000000003,0.259,250.0
24,1624864920000,0.25856,0.25885,0.25894,0.25839,750.10970454
25,1624864980000,0.25885,0.25837,0.25885,0.25823,600.00173
26,1624865040000,0.25834,0.25839,0.25839,0.25797,253.35460041
27,1624865100000,0.25799,0.25824,0.25874,0.25799,200.00173
28,1624865160000,0.25874,0.25886,0.25886,0.25874,0.53378335
29,1624865220000,0.2589,0.2589,0.2589,0.2589,100.0
30,1624865280000,0.25825,0.25868,0.25868,0.25825,150.0
31,1624865460000,0.25898000000000004,0.25983,0.25983,0.25898000000000004,23270.20345171
32,1624865520000,0.25985,0.26,0.26,0.25985,58.94796775
33,1624865580000,0.25943,0.25966999999999996,0.25966999999999996,0.25943,50.72126536
34,1624865700000,0.25986,0.25989,0.25989,0.25986,51.51870751
35,1624865760000,0.26,0.25959,0.26,0.25959,352.0
36,1624865820000,0.25942,0.25993,0.25994,0.25941,850.32513785
37,1624865880000,0.25941,0.25994,0.26038,0.25941,3150.0
38,1624865940000,0.2604,0.25995,0.26050999999999996,0.25995,1450.58194243
39,1624866000000,0.26016,0.25991,0.26016,0.25991,700.0
40,1624866060000,0.2603,0.25991,0.26044,0.25991,13324.62417487
41,1624866120000,0.26039,0.26039,0.26039,0.26039,100.0
42,1624866180000,0.26055,0.26192,0.26192,0.26044,4751.27820138
43,1624866240000,0.26168,0.26231,0.26231,0.26126,75223.9018876
44,1624866300000,0.26161999999999996,0.26239,0.2626,0.26153000000000004,1461.24588121
45,1624866360000,0.26193,0.26195999999999997,0.26289,0.26192,103391.85111587
46,1624866420000,0.26195,0.26166999999999996,0.26232,0.26127,132463.01382764
47,1624866480000,0.2614,0.26129,0.26177,0.26129,532.8929526000001
48,1624866540000,0.26108000000000003,0.26098000000000005,0.26108000000000003,0.26098000000000005,500.0
49,1624866600000,0.26099,0.26095999999999997,0.26127,0.26044,1128.37205925
50,1624866660000,0.26095,0.26097,0.26097,0.26095,18478.5833
51,1624866720000,0.26074,0.26041,0.26074,0.2598,3151.03812558
52,1624866780000,0.26039,0.26006,0.26039,0.26006,2850.0
53,1624866840000,0.26018,0.25999,0.26039,0.25999,200.32051319
54,1624866900000,0.26061,0.26052,0.26095,0.26052,350.86570569
55,1624866960000,0.26095,0.26028,0.26095,0.26028,6750.0
56,1624867020000,0.26042,0.25999,0.26042,0.25986,1284.238093
57,1624867080000,0.25998000000000004,0.26048000000000004,0.26048000000000004,0.25998000000000004,8.87958385
58,1624867140000,0.26045999999999997,0.26084,0.26084,0.26045999999999997,3653.85158479
59,1624867200000,0.26084,0.26065,0.26084,0.2604,45188.93873
60,1624867260000,0.2604,0.25995999999999997,0.2604,0.25995999999999997,9842.8176
61,1624867320000,0.25978,0.26013000000000003,0.26013000000000003,0.25928,550.20039966
62,1624867380000,0.2594,0.25939,0.25991,0.25916999999999996,350.26606604
63,1624867440000,0.2596,0.25993,0.25999,0.25958000000000003,25140.231204
64,1624867500000,0.25966,0.26009,0.26009,0.25966,1000.01087947
65,1624867620000,0.26029,0.25995999999999997,0.26029,0.25995999999999997,0.19726466
66,1624867680000,0.26029,0.26044,0.26044,0.26029,200.0408
67,1624867740000,0.26005,0.25983,0.26005,0.25983,151.44021454
68,1624867800000,0.25952,0.25952,0.25952,0.25952,250.0
69,1624867920000,0.26000999999999996,0.26000999999999996,0.26000999999999996,0.25961999999999996,300.16895028
70,1624867980000,0.26011999999999996,0.26022,0.26022,0.26011999999999996,2600.0
71,1624868040000,0.26011,0.26047,0.26049,0.25979,350.32292439
72,1624868100000,0.26055,0.26095999999999997,0.26095999999999997,0.26055,1000.0034300000001
73,1624868160000,0.26095999999999997,0.26163000000000003,0.2617,0.26078,992080.03390245
74,1624868220000,0.26163000000000003,0.26087,0.26186,0.26087,75311.12962
75,1624868280000,0.2612,0.2613,0.2613,0.2612,50.44679425
76,1624868340000,0.26143,0.26043,0.26143,0.25983,87197.41252516
77,1624868400000,0.26048000000000004,0.25993,0.26048000000000004,0.25993,654.58032793
78,1624868460000,0.25992,0.2596,0.25995,0.2596,15950.0
79,1624868520000,0.25995,0.26016,0.26016,0.25995,2.79946861
80,1624868580000,0.25998000000000004,0.2596,0.26,0.2596,500.0
81,1624868640000,0.2596,0.25959,0.2596,0.25959,43250.04468408
82,1624868700000,0.2598,0.25911999999999996,0.2598,0.25911999999999996,1100.0017231000004
83,1624868760000,0.25901,0.2582,0.25901,0.25818,1883.7701565000002
84,1624868820000,0.25886,0.25788,0.25886,0.25788,101355.86960319
85,1624868880000,0.25841,0.25835,0.25853000000000004,0.25789,405.9223046
86,1624868940000,0.25786,0.25799,0.25799,0.25739,2900.0
87,1624869000000,0.25819000000000003,0.25751,0.25823,0.25751,15830.75351838
88,1624869060000,0.258,0.25798000000000004,0.258,0.25798000000000004,1000.0
89,1624869120000,0.258,0.2575,0.258,0.2575,2085.35824903
90,1624869180000,0.2575,0.25678,0.258,0.25676,17233.94164965
91,1624869240000,0.2577,0.2575,0.25772,0.2575,150.12357046
92,1624869300000,0.25797,0.25797,0.25797,0.25797,100.0
93,1624869360000,0.25758000000000003,0.2581,0.2581,0.25758000000000003,250.58783882
94,1624869420000,0.25823,0.25853000000000004,0.25855,0.25823,300.0
95,1624869480000,0.25851,0.2581,0.25851,0.2581,250.0
96,1624869540000,0.25808000000000003,0.25845,0.25845999999999997,0.25797,1109.37299595
97,1624869600000,0.25797,0.25855,0.25855,0.25797,300.0
98,1624869660000,0.25848000000000004,0.25855,0.25855,0.25848000000000004,550.0
99,1624869780000,0.25873,0.25873,0.25873,0.25873,250.0
100,1624869840000,0.25874,0.25875,0.25875,0.25874,150.0
101,1624870020000,0.25799,0.25814000000000004,0.25814000000000004,0.25799,53.17337102
102,1624870080000,0.25801,0.25801,0.25801,0.25801,50.0
103,1624870140000,0.25891,0.25891,0.25891,0.25891,0.54405399
104,1624870200000,0.25887,0.259,0.259,0.25887,50.00173
105,1624870260000,0.25849,0.25906999999999997,0.25909,0.25849,650.0
106,1624870320000,0.25855,0.25855,0.25855,0.25855,200.0
